Species	Trophic.guild	Locomotion.mode	Activity
Eisenia andrei	Decomposer	Crawling	
Eisenia fetida	Decomposer	Crawling	
Allolobophora chlorotica	Decomposer	Crawling	-
Aporrectodea caliginosa	Decomposer	Crawling	-
Aporrectodea caliginosa	Decomposer	Crawling	-
Aporrectodea giardi	Decomposer	Crawling	-
Aporrectodea icterica	Decomposer	Crawling	-
Aporrectodea longa	Decomposer	Crawling	-
Aporrectodea longa	Decomposer	Crawling	-
Lumbricus terrestris	Decomposer	Crawling	Nocturnal
Lumbricus rubellus	Decomposer	Crawling	-
Ixodes scapularis	Carnivore	Crawling	Diurnal
Ixodes scapularis	Carnivore	Crawling	Diurnal
Ixodes scapularis	Carnivore	Crawling	Diurnal
Amblyseius californicus	Carnivore	Walking	Diurnal
Amblyseius fallacis	Carnivore	Walking	Diurnal
Amblyseius swirskii	Carnivore	Walking	Diurnal
Euseius finlandicus	Carnivore	Walking	Diurnal
Phytoseiulus persimilis	Carnivore	Walking	Diurnal
Arctosa cinerea	Carnivore	Walking	Diurnal
Arctosa cinerea	Carnivore	Walking	Diurnal
Arctosa cinerea	Carnivore	Walking	Diurnal
Arctosa cinerea	Carnivore	Walking	Diurnal
Pardosa agricola	Carnivore	Walking	Diurnal
Pardosa lugubris	Carnivore	Walking	Diurnal
Pardosa lugubris	Carnivore	Walking	Diurnal
Pardosa lugubris	Carnivore	Walking	Diurnal
Pardosa lugubris	Carnivore	Walking	Diurnal
Pardosa pullata	Carnivore	Walking	Diurnal
Pardosa pullata	Carnivore	Walking	Diurnal
Pardosa pullata	Carnivore	Walking	Diurnal
Pardosa pullata	Carnivore	Walking	Diurnal
Venatrix lapidosa	Carnivore	Walking	Nocturnal
Venatrix lapidosa	Carnivore	Walking	Nocturnal
Dolomedes triton	Carnivore	Walking	Nocturnal
Dolomedes triton	Carnivore	Walking	Nocturnal
Dolomedes triton	Carnivore	Walking	Nocturnal
Dolomedes triton	Carnivore	Walking	Nocturnal
Scytodes pallida	Carnivore	Walking	Diurnal
Leucorchestris arenicola	Carnivore	Walking	Nocturnal
Aphonopelma hentzi	Carnivore	Walking	Nocturnal
Misumena vatia	Carnivore	Walking	Diurnal
Misumena vatia	Carnivore	Walking	Diurnal
Misumenoides formosipes	Carnivore	Walking	Diurnal
Misumenoides formosipes	Carnivore	Walking	Diurnal
Aegaeobuthus gibbosus	Carnivore	Walking	Nocturnal
Aegaeobuthus gibbosus	Carnivore	Walking	Nocturnal
Centruroides sculpturatus	Carnivore	Walking	Nocturnal
Smeringurus mesaensis	Carnivore	Walking	Nocturnal
Smeringurus mesaensis	Carnivore	Walking	Nocturnal
Halotydeus destructor	Herbivore	Walking	-
Halotydeus destructor	Herbivore	Walking	-
Entomobrya multifasciata	Decomposer	Walking	-
Lepidocyrtus lanuginosus	Decomposer	Walking	-
Isotomiella minor	Decomposer	Walking	-
Folsomia quadrioculata	Decomposer	Walking	-
Parisotoma notabilis	Decomposer	Walking	-
Frisea truncata	Decomposer	Walking	-
Mesaphorura macrochaeta	Decomposer	Walking	-
Onychiurus armatus	Decomposer	Walking	Diurnal
Protaphorura armata	Decomposer	Walking	Nocturnal
Sminthurinus signatus	Decomposer	Walking	-
Zephronia viridescens	Decomposer	Walking	Nocturnal
Zephronia viridescens	Decomposer	Walking	Nocturnal
