Driver,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
BM,3.56,3.56,1.00,217.47,13.04,0.000
MS,3.22,1.61,2.00,624.91,5.90,0.003
TG,0.21,0.10,2.00,540.72,0.38,0.681
NDVImean,0.13,0.13,1.00,611.64,0.47,0.493
NDVIsd_mean,0.79,0.79,1.00,603.62,2.88,0.090
HFImean,1.15,1.15,1.00,572.61,4.22,0.041
Temperature_mean,1.60,1.60,1.00,556.71,5.85,0.016
MS:NDVImean,5.08,2.54,2.00,538.35,9.31,0.000
TG:NDVImean,0.05,0.02,2.00,582.60,0.09,0.916
MS:NDVIsd_mean,0.42,0.21,2.00,604.24,0.77,0.462
TG:NDVIsd_mean,0.07,0.04,2.00,551.25,0.13,0.880
MS:HFImean,0.17,0.09,2.00,568.96,0.32,0.727
TG:HFImean,0.42,0.21,2.00,302.84,0.76,0.468
