Driver,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
BM,4.29,4.29,1.00,167.47,25.18,1.33E-06
LM,4.05,4.05,1.00,290.53,23.76,1.80E-06
TG,0.76,0.38,2.00,262.93,2.24,0.108804357
NDVImean,0.24,0.24,1.00,227.82,1.38,0.240897278
NDVIsd_mean,0.44,0.44,1.00,294.97,2.59,0.108310347
HFImean,0.00,0.00,1.00,272.74,0.00,0.956558129
Temperature_mean,0.28,0.28,1.00,282.04,1.63,0.202190489
TG:NDVImean,0.27,0.13,2.00,276.80,0.79,0.456461168
TG:NDVIsd_mean,1.10,0.55,2.00,310.29,3.23,0.040916028
TG:HFImean,1.02,0.51,2.00,261.34,2.99,0.051939204
LM:HFImean,0.00,0.00,1.00,325.24,0.01,0.933093997
